ime,delodajalec,opis,kategorija,regija
Računovodski referent  ,E.Leclerc  Rudnidis d.o.o.,Zaposlimo odgovorno  motivirano in k doseganju ciljev naravnano osebo s smislom za komunikacijo in delo v ekipi. Priložnost ponujamo tudi mlajšim iskalcem zaposlitve s pripravljenostjo učenja.,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,Helios TBLUS d.o.o.,Vam je delo s številkami v veselje in iščete nove ali drugačne karierne izzive? Veselimo se dolgoročnega sodelovanja z motivirano  hitro učljivo in odgovorno osebo  ki je pripravljena na rast in strokovni razvoj.  ,bancnistvo-finance,osrednjeslovenska
Računovodja ,REKRUTER jkps d.o.o.,Za našega partnerja  uspešno gradbeno podjetje Zama d.o.o.  ki nudi kompletne rešitve za gradnjo ali obnovo objektov  iščemo nove sodelavce.,bancnistvo-finance,osrednjeslovenska
Fleet Sales Advisor / Specialist za prodajo podjetjem,GA ADRIATIC d.o.o.,Odgovorni boste za spremljanje in analizo trga prodaje podjetjem  pridobivanje novih kupcev na področju prodaje podjetjem  celovito skrbništvo nad ključnimi kupci (prodaja  poprodaja  financiranje) in spremljanje in pripravo dokumentacije za javne razpise na področju avtomobilizma in še veliko več. ,bancnistvo-finance,osrednjeslovenska
Podiplomski program Barilla Elevate / Barilla Elevate Graduate Program,Barilla ADRIATIK,Ste sveži diplomant in si želite uspeha? Si želite dinamične kariere  kjer lahko sprostite svojo ustvarjalnost in strast do hrane? Ne iščite več … Poskrbeli smo za vas! Elevate Graduate Program je naš recept za vaš uspeh!Barilla Adriatik vas vabi na 10-mesečno plačano pripravništvo  ki bo zaznamovalo vašo prihodnost!,bancnistvo-finance,osrednjeslovenska
Računovodja ,genEplanet d.o.o.,Želite nadgraditi svojo kariero kot računovodja v visokotehnološkem podjetju in se pridružiti uspešni računovodski ekipi?,bancnistvo-finance,osrednjeslovenska
Samostojni svetovalec prodaje ,NLB Lease&amp;Go d.o.o.,Smo zagotovo podjetje  ki skrbi za rast in razvoj zaposlenih. Prav tako smo ekipa inovativnih  ambicioznih in strastnih ljudi  ki v svojo ekipo vabi Samostojnega svetovalca prodaje. In ne nazadnje  smo podjetje – NLB Lease&amp;Go  ki bomo v prihodnje še rasli. Želiš to početi skupaj z nami? Poglej kaj ponujamo in se prijavi!,bancnistvo-finance,osrednjeslovenska
Sosvetovalec prodaje v Kopru  Ljubljani  Novem mestu  Celju in Mariboru,NLB Lease&amp;Go d.o.o.,Skrivnost našega uspeha se skriva v ekipi inovativnih  ambicioznih in strastnih ljudeh  ki skrbijo za rast in razvoj podjetja ter njegovih ljudi. V ekipo vabimo Sosvetovalce prodaje v Kopru  Ljubljani  Novem mestu  Celju in Mariboru  ki nam bodo pomagal pri naši rasti.,bancnistvo-finance,osrednjeslovenska
Specialist za trajnostne rešitve z izkušnjami v reviziji ,Ernst &amp; Young d.o.o.,Tvoje ključne odgovornosti: Sodeloval/-a boš z izkušenimi sodelavci pri opravljanju trajnostnih projektov za naše stranke ...,bancnistvo-finance,osrednjeslovenska
Asistent v distribuciji Volvo ,VCAG d.o.o. (VOLVO),Vaše delo bo obsegalo:  pripravo podatkov za potrebe analiziranja stanja na trgih regije  urejanje podatkovnih baz  analiziranje in poročanje na zahtevo principala znamke ...,bancnistvo-finance,osrednjeslovenska
Samostojni komercialist za podjetniške finance ,NLB d.d.,Če želite soustvarjati našo zgodbo kot uspešne bančne in finančne skupine v Sloveniji in Jugovzhodni Evropi  se nam pridružite. V kolikor iščete izzive na vašem strokovnem področju  imate močno razvito delovno etiko in ste pripravljeni nenehno nadgrajevati svoje znanje  vas vabimo  da se prijavite ...,bancnistvo-finance,osrednjeslovenska
Vodja oddelka  za regulativo ,Holding Slovenske elektrarne d.o.o.,Glavne naloge vodje oddelka za regulativo bodo usmerjene v usklajevanje z regulativnimi in zakonskimi zahtevami ter notranjimi politikami in predpisi v družbi in skupini HSE  pravno svetovanje v pogodbenih razmerjih v zvezi z dejavnostmi družbe in skupine HSE ...,bancnistvo-finance,osrednjeslovenska
Strokovni delavec  - referent za računovodstvo,DIH Technology d.o.o.,IH išče Referenta za računovodstvo. Vabimo vas  da se pridružite zelo izkušeni  mednarodno nagrajeni ekipi.,bancnistvo-finance,osrednjeslovenska
Samostojni pravni svetovalec ,Holding Slovenske elektrarne d.o.o.,Naloge in odgovornosti bodo predvsem: samostojna izvedba nalog s pravnega področja v družbi in skupini HSE ...,bancnistvo-finance,osrednjeslovenska
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,bancnistvo-finance,osrednjeslovenska
Različni profili ,Banka Sparkasse d.d.,Skupaj z novimi sodelavci želimo še naprej graditi odlične ekipe in ustvarjati dobre rezultate  se razvijati in z vsem tem dodajati vrednost svojim strankam. Pričakujemo aktivne in proaktivne ter dinamične sodelavce  ustvarjalne in srčne ter pripravljene na sodelovanje in stalne spremembe.,bancnistvo-finance,osrednjeslovenska
Različni profili ,DARS - Družba za avtoceste RS,Z gradnjo  upravljanjem in vzdrževanjem avtocest in hitrih cest povezujemo Slovenijo ter omogočamo našim uporabnikom varno in udobno mobilnost. Pri tem sprejemamo različne ukrepe za zagotavljanje varnosti in čim večje pretočnosti avtocestnega omrežja. ,bancnistvo-finance,osrednjeslovenska
Različni profili ,FURS,Pristojni smo za pobiranje davkov  prispevkov za socialno varnost  carin  trošarin in drugih dajatev. Z različnimi ukrepi družbi in posameznikom zagotavljamo varnost in zaščito  med drugim s preprečevanjem tihotapljenja prepovedanih snovi in ponaredkov  z nadzorom iger na srečo ter z izvajanjem nadzora v prometu.,bancnistvo-finance,osrednjeslovenska
Višji specialist na področju financ,Hisense Gorenje Europe  d.o.o.,Pričakujemo: želja po pridobivanju znanja na področju finančnih in poslovnih analiz  zaključeno fakulteto ekonomije  zaželeno področje finance ali računovodstvo..,bancnistvo-finance,osrednjeslovenska
Bančni svetovalec ,NLB d.d.,V NLB d.d. za naše stranke želimo le najboljše  zato vabimo kandidate  ki jim je blizu delo s strankami  imajo prodajne veščine in jim trženje bančnih produktov predstavlja izziv. Pridružite se nam v Podružnici Ljubljana in postanite nepogrešljiv član naše ekipe. ,bancnistvo-finance,osrednjeslovenska
Finančni analitik – junior  ,Manpower d.o.o.,Za našega naročnika  uspešno energetsko družbo Shell Adria d.o.o.  iščemo kandidata za delovno mesto &#39;&#39;Finančni analitik – junior m/ž &#39;&#39;. ,bancnistvo-finance,osrednjeslovenska
Izkušeni računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko za delovno mesto &#187;Izkušeni računovodja (m/ž)&#171;.,bancnistvo-finance,osrednjeslovenska
Vodja računovodstva ,Harvey Norman Trading d.o.o.,bsega: zagotavljanje ažurnost računovodskih podatkov  priprava periodičnih in letnih obračunov družbe  priprava konsolidiranih računovodskih izkazov za skupino ...,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,AKIDS d.o.o.,Iščemo izkušenega knjigovodjo  ki bo postal nepogrešljiv člen naše ekipe!,bancnistvo-finance,osrednjeslovenska
Svetovalec za prebivalstvo v poslovalnici Ljubljana,Deželna banka Slovenije d.d.,Vaše ključne naloge bodo izvajanje poslov plačilnega prometa  blagajniškega in menjalniškega poslovanja ter svetovanje obstoječim in novim strankam glede potrošniških in drugih kreditov.,bancnistvo-finance,osrednjeslovenska
Svetovalec  v poslovni enoti Ljubljana,UniCredit Banka Slovenija d.d.,vno mesto je v Ljubljani.,bancnistvo-finance,osrednjeslovenska
Specialist nadomestnih delov ,Star Import  d.o.o.,Želimo si osebo z odličnimi analitičnimi in organizacijskimi sposobnostmi  ki rada dela s podatki in razume njihovo vsebino  je natančna in odgovorna ter ob vsem tem organizirana in samostojna. V kolikor se prepoznate v zgornjem opisu je to lahko vaš nov karierni izziv. ,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni sodelavec v Službi za plan in analize ,Kemijski Inštitut Ljublj,Vas zanima delo v mednarodno priznani znanstveni organizaciji in želite biti podpora odličnim raziskovalcem? Ste komunikativni  odlično znate upravljati preglednice podatkov  imate izkušnje z vodenjem projektov? Se odlično pisno in ustno izražate v slovenskem jeziku? ,bancnistvo-finance,osrednjeslovenska
Računovodja ,HS plus d.o.o.,Zaradi povečanega obsega dela in novih poslovnih projektov  širimo našo ekipo v Računovodstvu  ki trenutno šteje 8 oseb.,bancnistvo-finance,osrednjeslovenska
Analitik v kontrolingu ,BTC d.d.,Vaše delo bo obsegalo: sodelovanje pri pripravi poročil o poslovanju  planiranju in pripravi analiz za potrebe družbe (oddajanje prostora  logistična dejavnost  ipd.) ...,bancnistvo-finance,osrednjeslovenska
Prodajni analitik ,TKK  d. o. o.,Če si želite delati v timu  ki ga ženejo ustvarjalnost  zaupanje in samoiniciativnost  ste vabljeni  da se nam pridružite na delovnem mestu PRODAJNI ANALITIK (m/ž),bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v oddelku finančnega kontrolinga,COMPETO d.o.o.,Naš partner je podjetje z močno  dolgo in prepoznavno lokalno tradicijo  ki v okviru mednarodnega strateškega partnerstva v prihodnost koraka inovativno  trajnostno in razvojno naravnano. V svoje vrste vabijo strokovnjaka za finančni kontroling  ki bo deloval v manjšem lokalnem strokovnem in povezanem timu z namenom podpore na ravni skupine.,bancnistvo-finance,osrednjeslovenska
Računovodja/Finančni knjigovodja ,HSG KARIERA,Za našega naročnika  podjetje z dolgoletno tradicijo v okolici Ljubljane  iščemo novega sodelavca za delovno mesto Računovodja/Finančni knjigovodja.,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,GB LEASING D.O.O.,Opis del: knjiženje bančnih izpiskov  knjiženje prejetih in izdanih faktur  arhiviranje  skeniranje računovodske dokumentacije.,bancnistvo-finance,osrednjeslovenska
Bančni svetovalec za pravne osebe   v PE Osrednja Slovenija  (poslovalnica Ljubljana),Deželna banka Slovenije d.d.,V Deželni banki Slovenije d.d. iščemo nove sodelavce/ke  za opravljanje del bančnega poslovanja tako s fizičnimi in pravnimi osebami  zato vam ponujamo možnost  da skupaj z nami uresničite svoje poslovne ambicije. K sodelovanju vabimo kandidate za delovno mesto:BANČNI SVETOVALEC za pravne osebe (m/ž) v PE Osrednja Slovenija  (poslovalnica Ljubljana),bancnistvo-finance,osrednjeslovenska
Samostojni notranji revizor za področje IT ,NLB d.d.,V kolikor si želite tovrstnega izziva in nadgrajevati svoje znanje  ste vljudno vabljeni  da oddate prijavo ter postanete del organizacijske enote Notranja revizija IT. Zaželena je izobrazba naravoslovne (tehnične) smeri.,bancnistvo-finance,osrednjeslovenska
Svetovalec v kontaktnem centru  – Podpora strankam,SKB banka d.d. Ljublj,K sodelovanju vabimo: SVETOVALCA V KONTAKTNEM CENTRU (m/ž) – Podpora strankam  ki se bo po ustreznem usposabljanju vključil v skupino za svetovanje in podporo strankam ter trženje bančnih produktov po telefonu in drugih elektronskih poteh. ,bancnistvo-finance,osrednjeslovenska
Kontrolor poslovanja (Slovenija in Hrvaška),Lindstrom d.o.o.,Kot ključni član naše dinamične ekipe boste cenjen strateški poslovni partner vodstvu v 2 državah regije jugovzhodne Evrope: v Sloveniji in na Hrvaškem. ,bancnistvo-finance,osrednjeslovenska
Finančni kontroler ,Helios TBLUS d.o.o.,Številne priložnosti za učenje od mednarodno priznanih strokovnjakov ter dinamično okolje  ki spodbuja zaupanje in medsebojno sodelovanje  so odlična priložnost za hitro rast in razvoj. Vabljeni k ogledu  kako v Heliosu ustvarjamo odličnost.,bancnistvo-finance,osrednjeslovenska
Analitik za računovodstvo in poročanje (Ljubljana),Davidov hram d.o.o. Lju,Naša pričakovanja: najmanj VI./1 raven izobrazbe ekonomske smeri...,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni sodelavec za organizacijo in poslovanje   za delo v Projektni pisarni,Nacionalni inštitut za biologij,Ste dinamični in imate radi nove izzive?Bi vas veselilo delo s fleksibilnim delovnim časom v stimulativnem mednarodnem delovnem okolju z možnostjo strokovnega in osebnega razvoja?Radi delate v prijetni ekipi in prispevate svoj košček sestavljanke k odličnemu poslovanju družbeno odgovornega podjetja  ki ceni sodelavce in skrbi za njihov osebni razvoj?,bancnistvo-finance,osrednjeslovenska
Računovodja ,Trgovski center Tivoli - Moto Shop d.o.o.,vne obveznosti: organizacija in izvedba vseh računovodskih in finančnih nalog v skladu z računovodskimi standardi in zakonodajo  vodenje glavne knjige  OS  vodenje saldakontov kupcev/dobaviteljev  …,bancnistvo-finance,osrednjeslovenska
Sodelavec za kontroling,ENERTRON d.o.o.,Kot sodelavec za kontroling pri podjetju ENERTRON boste imeli edinstveno priložnost za oblikovanje  postavitev in skrb za sistem kontrolinga v hitro rastočem podjetju. Iščemo odgovornega in strastnega sodelavca  ki se drži dogovorjenih norm  ima odprto komunikacijo  je pripravljen sodelovati in zna uskladiti svoje osebne cilje s strateškimi cilji organizacije.,bancnistvo-finance,osrednjeslovenska
Samostojni upravljalec kreditnih tveganj  v organizacijski enoti Kreditne analize srednje velikih komitentov,NLB d.d.,Zaradi uspešne rasti poslovanja banke in pripojitve N banke krepimo ekipo Samostojnih upravljalcev kreditnih tveganj (m/ž). Ste oseba z izrazito analitično žilico in željo po odkrivanju finančnih vpogledov? Imate sposobnost preoblikovanja bolj kompleksnih podatkov v rešitve  ki prinašajo uspeh? ,bancnistvo-finance,osrednjeslovenska
Finančni analitik ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,osrednjeslovenska
Samostojni računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,osrednjeslovenska
Specialisti za podporo finančnih in računovodskih procesov v SAP,Univerza v Ljubljani- Veterinarska faku,Na Veterinarski Fakulteti Univerze v Ljubljani iščemo specialiste za podporo finančnih in računovodskih procesov v SAP,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni sodelavec za upravljanje neprekinjenega poslovanja in zunanjega izvajanja poslovanja ,Addiko Bank d.d.,Ponujamo delovno okolje  ki spodbuja inovativne rešitve in kulturo skupnosti  spoštuje povratne informacije in neguje človeške odnose. Kultura  kjer &#187;mi&#171; pomeni  da ima vsak svoj &#187;jaz&#171;  vsak &#187;jaz&#171; pa je del ekipe. Addiko Bank d.d. je delodajalec  ki je zavezan enakim zaposlitvenim možnostim.,bancnistvo-finance,osrednjeslovenska
Specialist za program trajnostnega razvoja  / ESG officer (m/f),Banka Sparkasse d.d.,Te zanima področje ESG in te mika sooblikovanje razvoja ESG v bančništvu? Bi rad delal v dinamičnem timu  ki oblikuje trajnostno finančno izkušnjo prihodnosti? #verjemivase in se pridruži naši ekipi na delovnem mestu: SPECIALIST ZA PROGRAM TRAJNOSTNEGA RAZVOJA (m/ž) / ESG OFFICER (m/f).,bancnistvo-finance,osrednjeslovenska
Višji svetovalec področja I,Javna agencija za znanstvenoraziskovalno in inovacijsko dejavnost Republike Slovenij,Splošne naloge delovnega mesta: sodelovanje pri oblikovanju sistemskih rešitev  ključnih dokumentov  pripravi  informacij  poročil in drugih zahtevnejših gradiv  finančno spremljanje projektov  sodelovanje s financerji pri črpanju srestev  spremljanje in nadziranje izplačilne dokumentacije...,bancnistvo-finance,osrednjeslovenska
Računovodja  v Ljubljani,Trenkwalder d.o.o.,Vas odlikujejo izkušnje iz revizije in računovodstva?Vaš novi delodajalec bo renomirano državno podjetje  ki ga odlikuje strokovno podkovan tim  ki vas bo z veseljem vpeljal v novo delovno okolje in specifike dejavnosti. ,bancnistvo-finance,osrednjeslovenska
Višji svetovalec  v poslovni enoti Ljubljana,UniCredit Banka Slovenija d.d.,V poslovni enoti v Ljubljani odpiramo karierno priložnost za delovno mesto višjega svetovalca. Iščemo osebo  ki verjame v moč timskega dela  čuti odgovornost za ustvarjanje dodane vrednosti za vse deležnike in želi prispevati k prijetnemu delovnemu okolju  mi pa vam ponujamo številne priložnosti za strokovno in osebnostno rast naših zaposlenih.,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v oddelku Operacije ,Addiko Bank d.d.,Piši nam  če: imaš izkušnje s kontroliranjem  knjiženjem in vodenjem zahtevnejših poslov na področju kreditiranja za pravne ter fizične osebe..,bancnistvo-finance,osrednjeslovenska
Fakturist ,SIQ Ljublj,Iščemo sodelavca/ko  ki je pripravljen/a na aktualne izzive ter si želi novih izkušenj in znanj  s katerim/katero bomo v prihodnje skupaj uresničevali ambiciozne načrte in bomo vedno v koraku pred trendi. Naši zaposleni so naš največji kapital. Želimo biti in ostati prva izbira za najbolj perspektivne strokovne kadre. ,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,Pristop d.o.o.,Pristop je vodilna svetovalna ter komunikacijska družba v JZ Evropi  ki pod svojim okriljem združuje družbe s področja tržnega in korporativnega komuniciranja  poslovnega svetovanja ter digitalnih inovacij. V svoj tim vabimo novega sodelavca ali sodelavko.  ,bancnistvo-finance,osrednjeslovenska
Računovodja ,E NALOŽBE d.o.o.,V družbi E NALOŽBE d.o.o. Vam nudimo zaposlitev za nedoločen čas na delovnem mestu Izkušenega računovodja  z najmanj 2 leti delovnih izkušenj in željo po strokovnem izpopolnjevanju. ,bancnistvo-finance,osrednjeslovenska
Analitik v kontrolingu ,REKRUTER jkps d.o.o.,Če si želite postati del uspešne slovenske družbe  ki deluje že več kot 50 let  vas vabimo  da se prijavite. Postali boste pomemben člen ekipe kontrolinga in s svojimi analitičnimi znanji pomagali pri planiranju poslovanja družbe.,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni sodelavec za finance in računovodstvo ,Triglav  Upravljanje nepremičnin  d.o.o.,Opis delovnega mesta: pomoč vodji financ in računovodstva pri vsebinskih in organizacijskih nalogah  izvajanje operativnega in finančnega kontrolinga v družbi..,bancnistvo-finance,osrednjeslovenska
Računovodja,Fenolit  d.d.,Iščete nove karierne priložnosti? V svoje vrste vabimo Računovodjo. Če imate vsaj VI. stopnjo ekonomske izobrazbe  izkušnje s področja računovodstva in financ  se prijavite preko portala ali na e-mail: anja.cstajnrajh@fenolit.si. Kandidatom nudimo stimulativno delovno okolje  ki spodbuja povezovanje in kolegialnost  kreativno delo in možnost izpopolnjevanja s področja dela.,bancnistvo-finance,osrednjeslovenska
Analitik za tržna tveganja ,GEN-I  d.o.o.,Te zanima področje obvladovanja tveganj v energetiki? Te navdušuje analitičen pogled na dogajanje na trgu z energenti in učinki upravljanja portfeljev na tveganja? Te veseli delo s podatkovnimi bazami  razvoj analitičnih modelov  orodij in nadgradnja procesov obvladovanja tveganj? ,bancnistvo-finance,osrednjeslovenska
Referent za obračun  Ljubljana,Aktiva upravljanje d.o.o.,Zadolženi boste za: izdelavo in odpošiljanje faktur po pogodbah  ponudbah in obračunih  reševanje reklamaciji v sodelovanju z operativnimi upravniki  usklajevanje cen v skladu z navodili.,bancnistvo-finance,osrednjeslovenska
Finance Manager ,FirstClass  kadrovsko svetovanje  d.o.o.,Slovensko podjetje  z dvema proizvodnima enotama (250 zaposlenih)  je del nizozemske skupine  ki je vodilni ponudnik kamping opreme v Evropi. Skupina raste  prav tako slovenska podružnica. Za obvladovanje finančnih izzivov  ki spremljajo rast podjetja  v kolektiv vabijo Vodjo računovodstva (m/ž)  ki bo operativno in strateško pokrival to ključno področje v slovenskem podjetju..,bancnistvo-finance,osrednjeslovenska
Višji kontroler ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju Hisense Gorenje Europe d.o.o. kot višji kontroler v oddelku financ  računovodstva in kontrolinga.,bancnistvo-finance,osrednjeslovenska
Projektni vodja ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju GRAD d.d. kot projektni vodja. ,bancnistvo-finance,osrednjeslovenska
Projektni vodja v razvoju - področje mobilnosti ,FirstClass  kadrovsko svetovanje  d.o.o.,Za naše partnersko podjetje  NLB Lease&amp;Go d.o.o. iščemo mladega  motiviranega in zagnanega sodelavca.Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju NLB Lease&amp;Go d.o.o. v oddelku razvoja kot projektni vodja v razvoju na področju mobilnosti.,bancnistvo-finance,osrednjeslovenska
Svetovalec digitalne prodaje ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju NLB Lease&amp;Go d.o.o. v oddelku prodaje kot svetovalec digitalne prodaje.,bancnistvo-finance,osrednjeslovenska
Analitik na področju kontrolinga in upravljanja s tveganji ,FirstClass  kadrovsko svetovanje  d.o.o.,Za naše partnersko podjetje  NLB Lease&amp;Go d.o.o. iščemo mladega  motiviranega in zagnanega sodelavca v oddelku kontrolinga.,bancnistvo-finance,osrednjeslovenska
Sodelavec za razvoj produktov na področju osebnih vozil ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim od 23 do 30 let  in začni svojo kariero v podjetju NLB Lease&amp;Go d.o.o. kot Sodelavec za razvoj produktov na področju osebnih vozil.,bancnistvo-finance,osrednjeslovenska
Samostojni strokovni delavec VII/2 (I),Univerza v Ljubljani  Fakulteta za računalništvo in informatik,Na UL FRI zaposlimo &quot;Samostojnega strokovnega delavca VII/2 (I)&quot; v Finančno-računovodski službi za nedoločen čas.,bancnistvo-finance,osrednjeslovenska
Svetovalec direktorja sektorja alternativnih investicijskih skladov ,NLB Skladi  upravljanje premoženja  d. o. o.,Opis ključnih vsebin dela: svetovanje direktorju sektorja s področja upravljanja alternativnih investicijskih skladov ali drugega relevantnega področja glede na naložbeno strategijo alternativnih investicijskih skladov v upravljanju; samostojno nosilstvo najzahtevnejših nalog in aktivnosti sektorja po nalogu direktorja sektorja; svetovanje v zvezi z in sodelovanje pri poslovnih pogajanjih;...,bancnistvo-finance,osrednjeslovenska
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,bancnistvo-finance,osrednjeslovenska
Svetovalec začetnik na področju finančnega in računovodskega svetovanja ,Ernst &amp; Young d.o.o.,Priložnost: Trenutno iščemo nove sodelavce  ki se bodo pridružili ekipi svetovalcev v oddelku finančnega in računovodskega svetovanja. Pomagal/-a nam boš pri reševanju kompleksnih računovodskih in poročevalskih izzivov  s katerimi se soočajo naše stranke. ,bancnistvo-finance,osrednjeslovenska
Višji referent ,Banka Sparkasse d.d.,Si izrazito natančen  dobro organiziran in izkušen na področju plačilnega prometa in kartičnega poslovanja banke? Si svoje delovne izkušnje pridobival v bančništvu in dobro poznaš delovanje procesov v banki? ,bancnistvo-finance,osrednjeslovenska
Računovodja,Prohuman d.o.o.,Podjetje z dolgoletno tradicijo iz Ljubljane  ki se ukvarja s celovito sejemsko postavitvijo - od ideje do izvedbe  organizacijo dogodkov  marketingom in računovodstvom  v svoj kolektiv vabi samostojno računovodjo (m/ž).,bancnistvo-finance,osrednjeslovenska
Finančni kontrolor ,HSG KARIERA,Za našega naročnika  enega izmed ponudnikov plačljivih video vsebin ter fiksnega interneta  iščemo osebo za zasedbo pozicije Finančni kontrolor.,bancnistvo-finance,osrednjeslovenska
